IdBoca,CodigoInterno,DescripcionCortaDelArticulo,DescripcionLargaDelArticulo,CodigoEAN,Categoria,Subcategoria,PrecioActual,Fecha,marca
1667,2805,pack bonaqua agua sin gas x1.5lts,pack bonaqua agua sin gas x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"450,000000",2022-03-12,bonaqua
1777,0203786,gall ser cracker tripack 360 gr,gall ser cracker tripack 360 gr,7790040939905,GONDOLA,GALLETITAS,35,2022-03-17,ser
2078,4386,servilleta elite 150 uni x 40 pack 20x11,servilleta elite 150 uni x 40 pack 20x11,1,Insumos,Insumos,"0,01",2022-03-16,elite
392,221001,mini alfajor capricho pack x 12 unidades,mini alfajor capricho pack x 12 unidades,,SHOP,VENTAS CHOCOLATE,"0,100000",2022-03-12,null
656,0109136,la virginia cortado doypack x125gr.,la virginia cortado doypack x125gr.,null,RUBRO GENERAL,ALMACEN,110,2022-03-17,la virginia
656,0109817,silisur pano microfibra pack x4u.,silisur pano microfibra pack x4u.,7796399001003,RUBRO GENERAL,LIMPIEZA AUTOMOTOR,109.71,2022-03-17,null
840,842,yogur ser  calci+ pack  240 gr,yogur ser  calci+ pack  240 gr,7791337901049,SHOP,LACTEOS,"58,000000",2022-02-19,ser
1306,0301587,melba tripack 360 g,melba tripack 360 g,7794600004539,MINIMERCADO,GOLOSINAS,260,2022-03-17,melba
2122,0301697,pack philip 20 mas latita,pack philip 20 mas latita,null,TABA,CIGA,124,2022-03-17,null
656,0109135,la virginia latte doypack x125gr.,la virginia latte doypack x125gr.,7790150161302,RUBRO GENERAL,ALMACEN,210,2022-03-17,la virginia
1689,0102573,jumbo pack fusion,jumbo pack fusion,null,RUBRO GENERAL 2,CIGARRILLOS,186,2022-03-17,jumbo
1689,0103468,doypack mix la virginia x 125gr intan,doypack mix la virginia x 125gr intan,null,RUBRO GENERAL 2,PRODUCTOS DEL HOGAR,180,2022-03-17,la virginia
2014,0115821,cerv quilmes clasica 473cc pack x 6 un,cerv quilmes clasica 473cc pack x 6 un,7792798012947,BEBIDAS,BEBIDAS CON ALCOHOL,0,2022-03-17,quilmes
2014,0203324,serviclub energizante speed four pack la,serviclub energizante speed four pack lata 1 un,null,ADMINISTRACIÃN TIENDAS,ADMIN TIENDAS,0,2022-03-17,speed
2014,0204841,* postre flan ser tentacion pack x 190 g,* postre flan ser tentacion pack x 190 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,ser
2014,0205378,* ciga chesterfield red box pack x 4 un,* ciga chesterfield red box pack x 4 un,null,TABACO,CIGARRILLOS,0,2022-03-17,chesterfield
2014,0205380,* ciga marlboro core pack x 4 un,* ciga marlboro core pack x 4 un,null,TABACO,CIGARRILLOS,0,2022-03-17,marlboro
2014,0215821,cerv quilmes clasica 473cc pack x 6 un,cerv quilmes clasica 473cc pack x 6 un,null,BEBIDAS,BEBIDAS CON ALCOHOL,0,2022-03-17,quilmes
2057,0323648,dragon ball z super pack x 2,dragon ball z super pack x 2,null,GENERAL,JUGUETERIA-L,14.9,2022-03-18,null
2057,0324034,marlboro jumbo pack forest fusion,marlboro jumbo pack forest fusion x 20,null,GENERAL,CIGARRILLOS,280,2022-03-18,marlboro
2117,0300301,cafe dolca pack economico,cafe dolca pack economico,7613034235404,GENERAL,CAFETERIA Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â ,700,2022-03-17,dolca
2122,0301001,pack colitas varias,pack colitas varias,null,PNCO,JUGU,150,2022-03-17,null
28,1594,postres ser pack 200 grs ddl,postres ser pack 200 grs ddl,null,LACTEOS,LACTEOS,"105,000000",2022-03-12,ser
1791,4386,servilleta elite 150 uni x 40 pack 20x11,servilleta elite 150 uni x 40 pack 20x11,1,Insumos,Insumos,"0,01",2022-03-15,elite
2014,0202342,* yog ser batido calci+ pack x 2 frutill,* yog ser batido calci+ pack x 2 frutilla 240 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",YOGURES,0,2022-03-17,ser
2014,0603052,yogurisimo cremix pack x2,yogurisimo cremix pack x2,null,RUBRO GENERAL,ART. LACTEOS,6,2022-03-17,yogurisimo
28,1593,postres ser pack 200 grs,postres ser pack 200 grs,null,LACTEOS,LACTEOS,"105,000000",2022-03-12,ser
391,0302052,serenito crash pack x 2,serenito crash pack x 2,7791337074071,TIENDA,LACTEOS Y FIAMBRES,4.9875,2022-03-17,serenito
1777,0203809,postre serenito wau pack 200 gr,postre serenito wau pack 200 gr,7791337047013,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,24,2022-03-17,serenito
1868,CV008,miller 473 promo pack x 6 ud,miller 473 promo pack x 6 ud,null,BEBIDAS,BEBIDAS CERVEZAS,240.000000,2021-09-25,miller
2014,0202897,* postre danette pack x 2 flan 230 gr,* postre danette pack x 2 flan 230 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,danette
2014,0206516,* ciga marlboro jumbo pack marlboro red,* ciga marlboro jumbo pack marlboro red box 20 pack x 3 un,null,TABACO,CIGARRILLOS,0,2022-03-17,marlboro
2014,0206519,* ciga marlboro pack marlboro red box 20,* ciga marlboro pack marlboro red box 20 pack x 3 un,null,TABACO,CIGARRILLOS,0,2022-03-17,marlboro
656,0104441,pano microfibra mf style pack x2uni.,pano microfibra mf style pack x2uni.,4023103168565,RUBRO GENERAL,LIMPIEZA AUTOMOTOR,95.0399,2022-03-17,mf
146,1228,sandw indiv triple pack x4,sandw indiv triple pack x4,7798050250508,COMIDAS RAPIDAS,COMIDAS RAPIDAS,"430,000000",2021-09-25,null
1667,2773,pack schweppes citrus 6x1.5lts,pack schweppes citrus 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"900,000000",2022-03-12,schweppes
1667,2936,pack lata schweppes pomelo 6x310cc,pack lata schweppes pomelo 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"350,000000",2022-03-12,schweppes
1777,0200474,kit kat mini doypack 217 gr,kit kat mini doypack 217 gr,7613036240604,KIOSCO,CHOCOLATES,540,2022-03-17,kit kat
2014,0203055,* postre flan ser tentacion pack x choco,* postre flan ser tentacion pack x chocolate 210 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,ser
2014,0203057,* postre flan ser tentacion ddl pack x 2,* postre flan ser tentacion ddl pack x 210 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,ser
2014,0215293,*promo pack agua h2oh! citrus may20 1.5,*promo pack agua h2oh! citrus may20 1.5 lt,null,BEBIDAS,SABORIZADAS,0,2022-03-17,h2oh
28,2317,pack chesterfield fresh,pack chesterfield fresh,7791489838934,TABACOS,MASSALIN PARTICULARES,"270,000000",2022-03-12,chesterfield
2014,0215287,*promo pack pepsi 500 ml may 20 12x350 1,*promo pack pepsi 500 ml may 20 12x350 1 un,null,BEBIDAS,GASEOSAS,0,2022-03-17,pepsi
2014,0215729,pack gase coca cola 1.5 lt x 6 un andina,pack gase coca cola 1.5 lt x 6 un andina 6 un,null,PRODUCTOS ESENCIALES,BEBIDAS,695,2022-03-17,coca
2014,0215820,cerv andes roja 473cc pack x 6 un,cerv andes roja 473cc pack x 6 un,null,BEBIDAS,BEBIDAS CON ALCOHOL,0,2022-03-17,andes
2014,0603025,postre ser pack x 2 u,postre ser pack x 2 u,null,RUBRO GENERAL,ART. LACTEOS,6,2022-03-17,ser
378,0102075,big pack miga miga,big pack miga miga,null,RUBRO GENERAL,SANDWICHS,18,2022-03-17,null
656,0110800,shampoo dove doy pack x180ml.,shampoo dove doy pack x180ml.,7791293039084,RUBRO GENERAL,FARMACIA,145.36,2022-03-17,dove
1182,0303957,not mayo doy pack 200gr notco,not mayo doy pack 200gr notco,7792684001673,GENERAL,GREENYCO,100,2022-03-17,not mayo
1667,2780,pack lata fanta zero 6x310cc,pack lata fanta zero 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"300,000000",2022-03-12,fanta
1741,4386,servilleta elite 150 uni x 40 pack 20x11,servilleta elite 150 uni x 40 pack 20x11,1,Insumos,Insumos,"0,01",2022-03-16,elite
1868,1228,sandw indiv triple pack x4,sandw indiv triple pack x4,7798050250508,COMIDAS RAPIDAS,COMIDAS RAPIDAS,430.000000,2021-09-25,null
2014,2109686,ciga marlboro shouler pack 20 mass,ciga marlboro shouler pack 20 mass,9999301187,RUBRO GENERAL,RESIDUAL,0,2022-03-17,marlboro
28,2319,pack chesterfield remix,pack chesterfield remix,7791489838927,TABACOS,MASSALIN PARTICULARES,"270,000000",2022-03-12,chesterfield
840,0689,serenito flan pack x2,serenito flan pack x2,null,SHOP,LACTEOS,"60,000000",2022-02-19,serenito
100,4386,servilleta elite 150 uni x 40 pack 20x11,servilleta elite 150 uni x 40 pack 20x11,1,Insumos,Insumos,"0,01",2022-03-09,elite
